Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2019,Counts,19,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2019,Counts,13,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2019,Counts,13,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2019,Counts,40,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2019,Counts,0,CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2020,Counts,0,CTS/Covid-19
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2020,Counts,0,CTS/Covid-19
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2020,Counts,0,Covid-19
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2016,Counts,4,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2016,Counts,4,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2016,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2017,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2017,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2017,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2017,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2017,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2017,Counts,18,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,10,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2017,Counts,10,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2017,Counts,6,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2017,Counts,6,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2017,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2017,Counts,3,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2018,Counts,4,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2018,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2018,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2018,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2018,Counts,6,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2018,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,3,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,Counts,3,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2018,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Without a weapon/ other Mechanism,Total,Total,2018,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Unspecified means,Total,Total,2018,Counts,6,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2019,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2019,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2019,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2019,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown,Total,Total,2019,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Relationship to perpetrator is not known,Total,Total,2019,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2019,Counts,2,CTS
