Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,txtVALUE,Source
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2018,Counts,25,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2018,Counts,5,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2018,Counts,15,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2018,Counts,22,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2019,Counts,65,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by citizenship,97 albanian,Total,Total,2019,Counts,43,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by country of repatriation,Abroad,Total,Total,2019,Counts,6,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2019,Counts,23,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2019,Counts,33,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2019,Counts,32,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2020,Counts,48,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2020,Counts,25,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2020,Counts,25,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2020,Counts,23,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2021,Counts,16,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2021,Counts,59,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Armenia,Total,Total,2016,Counts,7,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Azerbaijan,Total,Total,2016,Counts,12,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Indonesia,Total,Total,2016,Counts,32,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Nigeria,Total,Total,2016,Counts,131,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Republic of Moldova,Total,Total,2016,Counts,6,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Tajikistan,Total,Total,2016,Counts,87,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Tunisia,Total,Total,2016,Counts,13,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Uganda,Total,Total,2016,Counts,6,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by country of repatriation,Uzbekistan,Total,Total,2016,Counts,62,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2017,Counts,5,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2017,Counts,15,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2017,Counts,20,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2018,Counts,8,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2018,Counts,12,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2018,Counts,15,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2018,Counts,26,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,by form of exploitation,Forced labour,Total,Total,2018,Counts,6,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2018,Counts,58,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2019,Counts,39,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2019,Counts,38,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2019,Counts,57,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2020,Counts,15,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2020,Counts,21,GLOTIP
ARE,United Arab Emirates,Asia,Western Asia,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2020,Counts,44,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Argentina,Total,Total,2016,Counts,100,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Bolivia (Plurinational State of),Total,Total,2016,Counts,116,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Dominican Republic,Total,Total,2016,Counts,19,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Paraguay,Total,Total,2016,Counts,30,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by country of repatriation,Bolivia (Plurinational State of),Total,Total,2016,Counts,111,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by country of repatriation,Colombia,Total,Total,2016,Counts,16,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by country of repatriation,Paraguay,Total,Total,2016,Counts,50,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by country of repatriation,Peru,Total,Total,2016,Counts,11,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2016,Counts,203,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2016,Counts,220,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,by form of exploitation,Forced labour,Total,Total,2016,Counts,69,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2016,Counts,88,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Argentina,Total,Total,2017,Counts,569,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Bolivia (Plurinational State of),Total,Total,2017,Counts,404,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Brazil,Total,Total,2017,Counts,9,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Dominican Republic,Total,Total,2017,Counts,63,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,OTROS,Total,Total,2017,Counts,45,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Paraguay,Total,Total,2017,Counts,92,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Peru,Total,Total,2017,Counts,18,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by country of repatriation,Abroad,Total,Total,2017,Counts,5,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2017,Counts,776,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2017,Counts,423,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,by form of exploitation,Forced labour,Total,Total,2017,Counts,14,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2017,Counts,68,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Argentina,Total,Total,2018,Counts,738,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Bolivia (Plurinational State of),Total,Total,2018,Counts,531,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Chile,Total,Total,2018,Counts,5,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,China,Total,Total,2018,Counts,19,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Colombia,Total,Total,2018,Counts,16,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Dominican Republic,Total,Total,2018,Counts,22,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Paraguay,Total,Total,2018,Counts,132,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Peru,Total,Total,2018,Counts,41,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Uruguay,Total,Total,2018,Counts,5,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Venezuela (Bolivarian Republic of),Total,Total,2018,Counts,12,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2018,Counts,972,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2018,Counts,552,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,by form of exploitation,Forced labour,Total,Total,2018,Counts,26,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2018,Counts,45,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Argentina,Total,Total,2019,Counts,"1,094",GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Bolivia (Plurinational State of),Total,Total,2019,Counts,204,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Brazil,Total,Total,2019,Counts,6,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,China,Total,Total,2019,Counts,19,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Colombia,Total,Total,2019,Counts,9,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Dominican Republic,Total,Total,2019,Counts,53,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Paraguay,Total,Total,2019,Counts,134,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Peru,Total,Total,2019,Counts,33,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,SENEGAL,Total,Total,2019,Counts,7,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Uruguay,Total,Total,2019,Counts,6,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Venezuela (Bolivarian Republic of),Total,Total,2019,Counts,15,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2019,Counts,55,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2019,Counts,879,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2019,Counts,934,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2019,Counts,43,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2019,Counts,501,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2019,Counts,544,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Argentina,Total,Total,2020,Counts,688,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Bolivia (Plurinational State of),Total,Total,2020,Counts,76,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Colombia,Total,Total,2020,Counts,7,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Ecuador,Total,Total,2020,Counts,5,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Paraguay,Total,Total,2020,Counts,82,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Peru,Total,Total,2020,Counts,21,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Republic of Korea,Total,Total,2020,Counts,20,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Uruguay,Total,Total,2020,Counts,5,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by citizenship,Venezuela (Bolivarian Republic of),Total,Total,2020,Counts,15,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by country of repatriation,Abroad,Total,Total,2020,Counts,10,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2020,Counts,39,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2020,Counts,605,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2020,Counts,651,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,0 to 17 years,2020,Counts,22,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2020,Counts,213,GLOTIP
ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2020,Counts,235,GLOTIP
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2016,Counts,21,GLOTIP
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2017,Counts,9,GLOTIP
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2018,Counts,27,GLOTIP
ARM,Armenia,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2019,Counts,5,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Afghanistan,Total,Total,2016,Counts,7,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Australia,Total,Total,2016,Counts,10,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Unknown,Total,Total,2016,Counts,19,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2016,Counts,7,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2017,Counts,37,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2017,Counts,38,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2017,Counts,10,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2017,Counts,10,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2018,Counts,56,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2018,Counts,56,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2018,Counts,14,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2018,Counts,13,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2019,Counts,5,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2019,Counts,80,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2019,Counts,81,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2019,Counts,20,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2019,Counts,20,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,0 to 17 years,2020,Counts,5,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,18 years or over,2020,Counts,91,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2020,Counts,91,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,18 years or over,2020,Counts,17,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2020,Counts,17,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Austria,Total,Total,2016,Counts,52,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Bulgaria,Total,Total,2016,Counts,8,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,China,Total,Total,2016,Counts,14,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Hungary,Total,Total,2016,Counts,9,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Nigeria,Total,Total,2016,Counts,15,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Romania,Total,Total,2016,Counts,20,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Slovakia,Total,Total,2016,Counts,5,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Unknown,Total,Total,2016,Counts,44,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by country of repatriation,Slovakia,Total,Total,2016,Counts,13,GLOTIP
AUT,Austria,Europe,Western Europe,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2016,Counts,17,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Austria,Total,Total,2017,Counts,95,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Bulgaria,Total,Total,2017,Counts,10,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,China,Total,Total,2017,Counts,25,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Hungary,Total,Total,2017,Counts,9,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Nigeria,Total,Total,2017,Counts,49,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Romania,Total,Total,2017,Counts,24,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Serbia,Total,Total,2017,Counts,5,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Austria,Total,Total,2018,Counts,99,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,China,Total,Total,2018,Counts,10,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Hungary,Total,Total,2018,Counts,14,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Nigeria,Total,Total,2018,Counts,30,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Romania,Total,Total,2018,Counts,63,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Serbia,Total,Total,2018,Counts,9,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Austria,Total,Total,2019,Counts,48,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Bulgaria,Total,Total,2019,Counts,10,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,China,Total,Total,2019,Counts,8,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Hungary,Total,Total,2019,Counts,20,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Nigeria,Total,Total,2019,Counts,8,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Philippines,Total,Total,2019,Counts,6,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Romania,Total,Total,2019,Counts,29,GLOTIP
AUT,Austria,Europe,Western Europe,Persons convicted,by citizenship,Austria,Total,Total,2019,Counts,6,GLOTIP
AUT,Austria,Europe,Western Europe,Persons convicted,by citizenship,Nigeria,Total,Total,2019,Counts,5,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Austria,Total,Total,2020,Counts,17,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Bulgaria,Total,Total,2020,Counts,18,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Nigeria,Total,Total,2020,Counts,14,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Romania,Total,Total,2020,Counts,27,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by citizenship,Serbia,Total,Total,2020,Counts,7,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2020,Counts,83,GLOTIP
AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2020,Counts,212,GLOTIP
BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by citizenship,Morocco,Total,Total,2016,Counts,19,GLOTIP
BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by citizenship,Nigeria,Total,Total,2016,Counts,19,GLOTIP
BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by citizenship,Romania,Total,Total,2016,Counts,8,GLOTIP
BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2016,Counts,62,GLOTIP
BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2016,Counts,48,GLOTIP
