Country,Crime Type,Category,Year,Unit of measurement,VALUE,Source,0
Albania,Economic,Theft: of a motorized vehicle,2016,Counts,298.0,CTS,1
Albania,Economic,Theft,2020,Counts,4400.0,CTS,1
Albania,Economic,Theft,2019,Counts,4833.0,CTS,1
Albania,Economic,Theft,2018,Counts,5414.0,CTS,1
Albania,Economic,Theft,2017,Counts,5096.0,CTS,1
Albania,Economic,Theft,2016,Counts,5641.0,CTS,1
Albania,Economic,Smuggling of migrants,2020,Counts,304.0,CTS,1
Albania,Economic,Smuggling of migrants,2019,Counts,146.0,CTS,1
Albania,Economic,Smuggling of migrants,2018,Counts,127.0,CTS,1
Albania,Economic,Smuggling of migrants,2016,Counts,63.0,CTS,1
Albania,Economic,Fraud,2019,Counts,874.0,CTS,1
Albania,Economic,Money laundering,2020,Counts,417.0,CTS,1
Albania,Economic,Money laundering,2019,Counts,401.0,CTS,1
Albania,Economic,Money laundering,2018,Counts,351.0,CTS,1
Albania,Economic,Money laundering,2017,Counts,379.0,CTS,1
Albania,Economic,Money laundering,2016,Counts,365.0,CTS,1
Albania,Economic,Fraud: Cyber-related (Cy),2020,Counts,56.0,CTS,1
Albania,Economic,Fraud: Cyber-related (Cy),2019,Counts,47.0,CTS,1
Albania,Economic,Fraud: Cyber-related (Cy),2018,Counts,60.0,CTS,1
Albania,Economic,Fraud: Cyber-related (Cy),2017,Counts,77.0,CTS,1
Albania,Economic,Fraud: Cyber-related (Cy),2016,Counts,51.0,CTS,1
Albania,Economic,Fraud,2020,Counts,798.0,CTS,1
Albania,Economic,Acts involving the movement of dumping of waste,2017,Counts,0.0,CTS,1
Albania,Firearms,otherwise illicitly manufactured,2020,Counts,0.0,IAFQ,2
Albania,Firearms,unknown,2018,Counts,0.0,IAFQ,2
Albania,Firearms,unknown,2019,Counts,0.0,IAFQ,2
Albania,Firearms,unknown,2020,Counts,0.0,IAFQ,2
Albania,Firearms,otherwise illicitly manufactured,2019,Counts,0.0,IAFQ,2
Albania,Firearms,otherwise illicitly manufactured,2016,Counts,1.0,IAFQ,2
Albania,Firearms,otherwise illicitly manufactured,2018,Counts,0.0,IAFQ,2
Albania,Firearms,other,2020,Counts,0.0,IAFQ,2
Albania,Firearms,other,2019,Counts,0.0,IAFQ,2
Albania,Firearms,other,2018,Counts,0.0,IAFQ,2
Albania,Firearms,vessels and harbours,2020,Counts,0.0,IAFQ,1
Albania,Firearms,vessels and harbours,2019,Counts,0.0,IAFQ,1
Albania,Firearms,vessels and harbours,2018,Counts,0.0,IAFQ,1
Albania,Firearms,vessels and harbours,2017,Counts,1.0,IAFQ,1
Albania,Firearms,unknown Status On Marking,2019,Counts,37.0,IAFQ,1
Albania,Firearms,unknown Status On Marking,2018,Counts,10.0,IAFQ,1
Albania,Firearms,unknown,2017,Counts,99.0,IAFQ,1
Albania,Firearms,unknown,2016,Counts,80.0,IAFQ,1
Albania,Firearms,uniquely marked,2019,Counts,388.0,IAFQ,1
Albania,Firearms,Illicit trafficking of arms and drug trafficking,2020,Counts,3.0,IAFQ,1
Albania,Firearms,Drugs,2019,Counts,31.0,IAFQ,1
Albania,Firearms,Drugs,2018,Counts,100.0,IAFQ,1
Albania,Firearms,Drugs,2017,Counts,58.0,IAFQ,1
Albania,Firearms,Drugs,2016,Counts,88.0,IAFQ,1
Albania,Firearms,Converted arms,2020,Counts,27.0,IAFQ,1
Albania,Firearms,Converted arms,2019,Counts,40.0,IAFQ,1
Albania,Firearms,Converted arms,2018,Counts,46.0,IAFQ,1
Albania,Firearms,Converted arms,2017,Counts,14.0,IAFQ,1
Albania,Firearms,Converted arms,2016,Counts,12.0,IAFQ,1
Albania,Firearms,Assembled arms,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Assembled arms,2019,Counts,0.0,IAFQ,1
Albania,Firearms,Assembled arms,2018,Counts,0.0,IAFQ,1
Albania,Firearms,Altered markings,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Altered markings,2019,Counts,2.0,IAFQ,1
Albania,Firearms,Altered markings,2018,Counts,0.0,IAFQ,1
Albania,Firearms,Drugs,2020,Counts,1.0,IAFQ,1
Albania,Firearms,Industrially manufactured arms,2016,Counts,516.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - total uniquely identifiable through marking,2018,Counts,413.0,IAFQ,1
Albania,Firearms,Industrially manufactured arms,2017,Counts,416.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - no tracing procedure initiated,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - from illegitimate owner in national registry,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - from illegitimate owner in foreign registry,2020,Counts,3.0,IAFQ,1
Albania,Firearms,Surrendered,2019,Counts,5.0,IAFQ,1
Albania,Firearms,Reactivated arms,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Reactivated arms,2019,Counts,0.0,IAFQ,1
Albania,Firearms,Reactivated arms,2018,Counts,0.0,IAFQ,1
Albania,Firearms,Other forms of organized crime,2019,Counts,16.0,IAFQ,1
Albania,Firearms,Other arms offences,2020,Counts,430.0,IAFQ,1
Albania,Firearms,Other arms offences,2018,Counts,693.0,IAFQ,1
Albania,Firearms,Other arms offences,2017,Counts,341.0,IAFQ,1
Albania,Firearms,Other arms offences,2016,Counts,408.0,IAFQ,1
Albania,Firearms,Only for illicit trafficking in arms,2020,Counts,22.0,IAFQ,1
Albania,Firearms,Not uniquely identifiable - No further information available,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Not uniquely identifiable - No further information available,2018,Counts,431.0,IAFQ,1
Albania,Firearms,Not uniquely identifiable - Illicitly manufactured,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Not uniquely identifiable - Erased or altered marking,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Not uniquely identifiable - Erased or altered marking,2018,Counts,431.0,IAFQ,1
Albania,Firearms,Modified arms,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Modified arms,2019,Counts,0.0,IAFQ,1
Albania,Firearms,Modified arms,2018,Counts,0.0,IAFQ,1
Albania,Firearms,Modified arms,2016,Counts,1.0,IAFQ,1
Albania,Firearms,Industrially manufactured arms,2020,Counts,418.0,IAFQ,1
Albania,Firearms,Industrially manufactured arms,2019,Counts,385.0,IAFQ,1
Albania,Firearms,Industrially manufactured arms,2018,Counts,826.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - point of diversion otherwise identified,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - total uniquely identifiable through marking,2019,Counts,14.0,IAFQ,1
Albania,Firearms,uniquely marked,2019,Counts,80.0,IAFQ,1
Albania,Firearms,revolver,2019,Counts,9.0,IAFQ,1
Albania,Firearms,revolver,2017,Counts,5.0,IAFQ,1
Albania,Firearms,revolver,2017,Counts,3.0,IAFQ,1
Albania,Firearms,revolver,2016,Counts,5.0,IAFQ,1
Albania,Firearms,planes and airports,2020,Counts,1.0,IAFQ,1
Albania,Firearms,planes and airports,2019,Counts,0.0,IAFQ,1
Albania,Firearms,planes and airports,2018,Counts,0.0,IAFQ,1
Albania,Firearms,planes and airports,2017,Counts,4.0,IAFQ,1
Albania,Firearms,pistol,2020,Counts,133.0,IAFQ,1
Albania,Firearms,pistol,2019,Counts,179.0,IAFQ,1
Albania,Firearms,pistol,2019,Counts,5.0,IAFQ,1
Albania,Firearms,pistol,2018,Counts,181.0,IAFQ,1
Albania,Firearms,pistol,2017,Counts,139.0,IAFQ,1
Albania,Firearms,pistol,2017,Counts,28.0,IAFQ,1
Albania,Firearms,pistol,2017,Counts,3.0,IAFQ,1
Albania,Firearms,pistol,2016,Counts,169.0,IAFQ,1
Albania,Firearms,pistol,2016,Counts,3.0,IAFQ,1
Albania,Firearms,otherwise illicitly manufactured,2017,Counts,2.0,IAFQ,1
Albania,Firearms,other weapons,2020,Counts,39.0,IAFQ,1
Albania,Firearms,other weapons,2019,Counts,9.0,IAFQ,1
Albania,Firearms,other weapons,2018,Counts,9.0,IAFQ,1
Albania,Firearms,other weapons,2017,Counts,51.0,IAFQ,1
Albania,Firearms,other weapons,2017,Counts,0.0,IAFQ,1
Albania,Firearms,other weapons,2016,Counts,0.0,IAFQ,1
Albania,Firearms,no marking,2019,Counts,0.0,IAFQ,1
Albania,Firearms,no marking,2018,Counts,0.0,IAFQ,1
Albania,Firearms,revolver,2018,Counts,6.0,IAFQ,1
Albania,Firearms,revolver,2020,Counts,7.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - total uniquely identifiable through marking,2020,Counts,28.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2016,Counts,21.0,IAFQ,1
Albania,Firearms,uniquely marked,2019,Counts,5.0,IAFQ,1
Albania,Firearms,uniquely marked,2018,Counts,862.0,IAFQ,1
Albania,Firearms,uniquely marked,2018,Counts,25.0,IAFQ,1
Albania,Firearms,submachine gun,2020,Counts,6.0,IAFQ,1
Albania,Firearms,submachine gun,2019,Counts,0.0,IAFQ,1
Albania,Firearms,submachine gun,2018,Counts,21.0,IAFQ,1
Albania,Firearms,submachine gun,2017,Counts,0.0,IAFQ,1
Albania,Firearms,submachine gun,2016,Counts,0.0,IAFQ,1
Albania,Firearms,shotgun (Including Short Carbine),2020,Counts,55.0,IAFQ,1
Albania,Firearms,shotgun (Including Short Carbine),2019,Counts,47.0,IAFQ,1
Albania,Firearms,shotgun (Including Short Carbine),2018,Counts,37.0,IAFQ,1
Albania,Firearms,shotgun (Including Short Carbine),2017,Counts,99.0,IAFQ,1
Albania,Firearms,shotgun (Including Short Carbine),2017,Counts,28.0,IAFQ,1
Albania,Firearms,shotgun (Including Short Carbine),2016,Counts,80.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2020,Counts,203.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2019,Counts,181.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2019,Counts,75.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2019,Counts,5.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2018,Counts,604.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2018,Counts,413.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2018,Counts,25.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2017,Counts,1718.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2017,Counts,189.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2017,Counts,18.0,IAFQ,1
Albania,Firearms,rifle (Inlcuding Carbine),2016,Counts,273.0,IAFQ,1
Albania,Firearms,national territory,2020,Counts,438.0,IAFQ,1
Albania,Firearms,national territory,2019,Counts,423.0,IAFQ,1
Albania,Firearms,national territory,2018,Counts,848.0,IAFQ,1
Albania,Firearms,national territory,2017,Counts,426.0,IAFQ,1
Albania,Firearms,illicit offences,2019,Counts,21.0,IAFQ,1
Albania,Firearms,illicit offences,2018,Counts,24.0,IAFQ,1
Albania,Firearms,illicit offences,2017,Counts,6.0,IAFQ,1
Albania,Firearms,illicit offences,2016,Counts,11.0,IAFQ,1
Albania,Firearms,illicit manufacture,2020,Counts,0.0,IAFQ,1
Albania,Firearms,illicit manufacture,2019,Counts,0.0,IAFQ,1
Albania,Firearms,illicit manufacture,2018,Counts,0.0,IAFQ,1
Albania,Firearms,altered marking,2019,Counts,0.0,IAFQ,1
Albania,Firearms,altered marking,2018,Counts,0.0,IAFQ,1
Albania,Firearms,Violent crime,2020,Counts,63.0,IAFQ,1
Albania,Firearms,Violent crime,2019,Counts,37.0,IAFQ,1
Albania,Firearms,Violent crime,2018,Counts,55.0,IAFQ,1
Albania,Firearms,Violent crime,2017,Counts,27.0,IAFQ,1
Albania,Firearms,Violent crime,2016,Counts,24.0,IAFQ,1
Albania,Firearms,Unknown status regarding marking,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Unknown status on type,2020,Counts,0.0,IAFQ,1
Albania,Firearms,Unknown status on type,2019,Counts,0.0,IAFQ,1
Albania,Firearms,Unknown status on type,2018,Counts,10.0,IAFQ,1
Albania,Firearms,Unknown status on type,2017,Counts,19.0,IAFQ,1
Albania,Firearms,Unknown status on type,2017,Counts,0.0,IAFQ,1
Albania,Firearms,Unknown status on type,2016,Counts,0.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - tracing procedure pending,2020,Counts,25.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - tracing procedure pending,2019,Counts,14.0,IAFQ,1
Albania,Firearms,Uniquely identifiable - tracing procedure pending,2018,Counts,413.0,IAFQ,1
Albania,Firearms,"Uniquely identifiable - tracing attempted, no point of diversion identified",2020,Counts,0.0,IAFQ,1
Albania,Firearms,illicit offences,2020,Counts,15.0,IAFQ,1
Albania,Firearms,illicit posession,2016,Counts,435.0,IAFQ,1
Albania,Firearms,illicit posession,2017,Counts,326.0,IAFQ,1
Albania,Firearms,land borders,2016,Counts,2.0,IAFQ,1
Albania,Firearms,national territory,2016,Counts,529.0,IAFQ,1
Albania,Firearms,machine gun,2020,Counts,2.0,IAFQ,1
Albania,Firearms,machine gun,2019,Counts,0.0,IAFQ,1
Albania,Firearms,machine gun,2018,Counts,4.0,IAFQ,1
Albania,Firearms,machine gun,2017,Counts,31.0,IAFQ,1
Albania,Firearms,machine gun,2017,Counts,0.0,IAFQ,1
Albania,Firearms,machine gun,2016,Counts,4.0,IAFQ,1
Albania,Firearms,land borders,2020,Counts,6.0,IAFQ,1
Albania,Firearms,land borders,2019,Counts,2.0,IAFQ,1
Albania,Firearms,land borders,2018,Counts,24.0,IAFQ,1
Albania,Firearms,land borders,2017,Counts,1.0,IAFQ,1
Albania,Firearms,illicit use,2020,Counts,90.0,IAFQ,1
Albania,Firearms,illicit posession,2018,Counts,723.0,IAFQ,1
Albania,Firearms,illicit use,2019,Counts,153.0,IAFQ,1
Albania,Firearms,illicit use,2018,Counts,125.0,IAFQ,1
Albania,Firearms,illicit use,2017,Counts,1.0,IAFQ,1
Albania,Firearms,illicit use,2016,Counts,5.0,IAFQ,1
Albania,Firearms,illicit trafficking,2020,Counts,15.0,IAFQ,1
Albania,Firearms,illicit trafficking,2019,Counts,21.0,IAFQ,1
Albania,Firearms,illicit trafficking,2018,Counts,24.0,IAFQ,1
Albania,Firearms,illicit trafficking,2017,Counts,6.0,IAFQ,1
Albania,Firearms,illicit trafficking,2016,Counts,11.0,IAFQ,1
Albania,Firearms,illicit posession,2020,Counts,340.0,IAFQ,1
Albania,Firearms,illicit posession,2019,Counts,249.0,IAFQ,1
Albania,Homicide,Foreign citizens,2016,Counts,0.0,CTS,4
Albania,Homicide,Foreign citizens,2019,Counts,0.0,CTS,3
Albania,Homicide,Socio-political homicide,2018,Counts,0.0,CTS,3
Albania,Homicide,Socio-political homicide,2017,Counts,0.0,CTS,3
Albania,Homicide,Foreign citizens,2017,Counts,0.0,CTS,2
Albania,Homicide,Foreign citizens,2020,Counts,0.0,CTS,2
Albania,Homicide,Foreign citizens,2018,Counts,1.0,CTS,2
Albania,Homicide,Socio-political homicide,2016,Counts,1.0,CTS,2
Albania,Homicide,Relationship to perpetrator is not known,2018,Counts,44.0,CTS,1
Albania,Homicide,Relationship to perpetrator is not known,2016,Counts,67.0,CTS,1
Albania,Homicide,Perpetrator unknown,2018,Counts,0.0,CTS,1
Albania,Homicide,Perpetrator unknown,2017,Counts,1.0,CTS,1
Albania,Homicide,Perpetrator unknown,2016,Counts,2.0,CTS,1
Albania,Homicide,Other Perpetrator known to the victim,2018,Counts,1.0,CTS,1
Albania,Homicide,Other Perpetrator known to the victim,2017,Counts,7.0,CTS,1
Albania,Homicide,Other Perpetrator known to the victim,2016,Counts,10.0,CTS,1
Albania,Homicide,National citizens,2020,Counts,69.0,CTS,1
Albania,Homicide,National citizens,2020,Counts,1.0,CTS,1
Albania,Homicide,National citizens,2019,Counts,78.0,CTS,1
Albania,Homicide,National citizens,2019,Counts,62.0,CTS,1
Albania,Homicide,National citizens,2019,Counts,13.0,CTS,1
Albania,Homicide,National citizens,2019,Counts,0.0,CTS,1
Albania,Homicide,National citizens,2018,Counts,57.0,CTS,1
Albania,Homicide,National citizens,2018,Counts,52.0,CTS,1
Albania,Homicide,National citizens,2018,Counts,15.0,CTS,1
Albania,Homicide,National citizens,2018,Counts,2.0,CTS,1
Albania,Homicide,National citizens,2017,Counts,47.0,CTS,1
Albania,Homicide,National citizens,2017,Counts,1.0,CTS,1
Albania,Homicide,National citizens,2016,Counts,78.0,CTS,1
Albania,Homicide,National citizens,2016,Counts,64.0,CTS,1
Albania,Homicide,National citizens,2016,Counts,15.0,CTS,1
Albania,Homicide,National citizens,2016,Counts,2.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2018,Counts,7.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2018,Counts,4.0,CTS,1
Albania,Homicide,Relationship to perpetrator is not known,2017,Counts,46.0,CTS,1
Albania,Homicide,Socio-political homicide,2016,Counts,0.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2017,Counts,7.0,CTS,1
Albania,Homicide,Unknown types of homicide,2016,Counts,4.0,CTS,1
Albania,Homicide,Without a weapon/ other Mechanism,2018,Counts,3.0,CTS,1
Albania,Homicide,Without a weapon/ other Mechanism,2017,Counts,6.0,CTS,1
Albania,Homicide,Without a weapon/ other Mechanism,2016,Counts,10.0,CTS,1
Albania,Homicide,Unknown types of homicide,2018,Counts,48.0,CTS,1
Albania,Homicide,Unknown types of homicide,2018,Counts,44.0,CTS,1
Albania,Homicide,Unknown types of homicide,2018,Counts,4.0,CTS,1
Albania,Homicide,Unknown types of homicide,2017,Counts,53.0,CTS,1
Albania,Homicide,Unknown types of homicide,2017,Counts,50.0,CTS,1
Albania,Homicide,Unknown types of homicide,2017,Counts,3.0,CTS,1
Albania,Homicide,Unknown types of homicide,2016,Counts,78.0,CTS,1
Albania,Homicide,Unknown types of homicide,2016,Counts,74.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2018,Counts,3.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2017,Counts,5.0,CTS,1
Albania,Homicide,Interpersonal homicide,2016,Counts,13.0,CTS,1
Albania,Homicide,Foreign citizens,2018,Counts,0.0,CTS,1
Albania,Homicide,Firearms or explosives - firearms,2018,Counts,46.0,CTS,1
Albania,Homicide,Firearms or explosives - firearms,2017,Counts,44.0,CTS,1
Albania,Homicide,Firearms or explosives - firearms,2016,Counts,43.0,CTS,1
Albania,Homicide,Another weapon - sharp object,2018,Counts,19.0,CTS,1
Albania,Homicide,Another weapon - sharp object,2017,Counts,18.0,CTS,1
Albania,Homicide,Another weapon - sharp object,2016,Counts,18.0,CTS,1
Albania,Homicide,3rd largest city,2019,Counts,11.0,CTS,1
Albania,Homicide,3rd largest city,2018,Counts,7.0,CTS,1
Albania,Homicide,3rd largest city,2017,Counts,9.0,CTS,1
Albania,Homicide,3rd largest city,2016,Counts,4.0,CTS,1
Albania,Homicide,2nd largest city,2019,Counts,13.0,CTS,1
Albania,Homicide,2nd largest city,2018,Counts,10.0,CTS,1
Albania,Homicide,2nd largest city,2017,Counts,9.0,CTS,1
Albania,Homicide,2nd largest city,2016,Counts,20.0,CTS,1
Albania,Homicide,1st largest city,2019,Counts,7.0,CTS,1
Albania,Homicide,1st largest city,2018,Counts,11.0,CTS,1
Albania,Homicide,1st largest city,2017,Counts,1.0,CTS,1
Albania,Homicide,1st largest city,2016,Counts,0.0,CTS,1
Albania,Homicide,Interpersonal homicide,2016,Counts,7.0,CTS,1
Albania,Homicide,Interpersonal homicide,2016,Counts,20.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2017,Counts,2.0,CTS,1
Albania,Homicide,Interpersonal homicide,2017,Counts,6.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2016,Counts,10.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2016,Counts,8.0,CTS,1
Albania,Homicide,Intimate partner or family member: Intimate partner,2016,Counts,2.0,CTS,1
Albania,Homicide,Intimate partner or family member: Family member,2018,Counts,16.0,CTS,1
Albania,Homicide,Intimate partner or family member: Family member,2017,Counts,7.0,CTS,1
Albania,Homicide,Intimate partner or family member: Family member,2016,Counts,10.0,CTS,1
Albania,Homicide,Intimate partner or family member: Family member,2016,Counts,5.0,CTS,1
Albania,Homicide,Intimate partner or family member: Family member,2016,Counts,1.0,CTS,1
Albania,Homicide,Intimate partner or family member,2019,Counts,17.0,CTS,1
Albania,Homicide,Intimate partner or family member,2019,Counts,12.0,CTS,1
Albania,Homicide,Intimate partner or family member,2019,Counts,5.0,CTS,1
Albania,Homicide,Intimate partner or family member,2018,Counts,23.0,CTS,1
Albania,Homicide,Intimate partner or family member,2017,Counts,14.0,CTS,1
Albania,Homicide,Intimate partner or family member,2017,Counts,11.0,CTS,1
Albania,Homicide,Intimate partner or family member,2017,Counts,3.0,CTS,1
Albania,Homicide,Intimate partner or family member,2016,Counts,20.0,CTS,1
Albania,Homicide,Intimate partner or family member,2016,Counts,15.0,CTS,1
Albania,Homicide,Intimate partner or family member,2016,Counts,5.0,CTS,1
Albania,Homicide,Interpersonal homicide,2020,Counts,9.0,CTS,1
Albania,Homicide,Interpersonal homicide,2019,Counts,17.0,CTS,1
Albania,Homicide,Interpersonal homicide,2018,Counts,20.0,CTS,1
Albania,Homicide,Interpersonal homicide,2018,Counts,11.0,CTS,1
Albania,Homicide,Interpersonal homicide,2018,Counts,9.0,CTS,1
Albania,Homicide,Interpersonal homicide,2017,Counts,15.0,CTS,1
Albania,Homicide,Interpersonal homicide,2017,Counts,9.0,CTS,1
Albania,Human Trafficking,Other forms of exploitation,2018,Counts,54,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2018,Counts,26,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2018,Counts,24,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2017,Counts,9,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2017,Counts,48,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2016,Counts,18,GLOTIP,1
Albania,Human Trafficking,Forced labour,2021,Counts,16,GLOTIP,1
Albania,Human Trafficking,Forced labour,2020,Counts,25,GLOTIP,1
Albania,Human Trafficking,Forced labour,2019,Counts,23,GLOTIP,1
Albania,Human Trafficking,Forced labour,2018,Counts,5,GLOTIP,1
Albania,Human Trafficking,Forced labour,2018,Counts,25,GLOTIP,1
Albania,Human Trafficking,Forced labour,2017,Counts,22,GLOTIP,1
Albania,Human Trafficking,Abroad,2019,Counts,6,GLOTIP,1
Albania,Human Trafficking,97 albanian,2019,Counts,43,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2019,Counts,10,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2019,Counts,34,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2019,Counts,6,GLOTIP,1
Albania,Human Trafficking,Other forms of exploitation,2020,Counts,35,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2021,Counts,59,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2020,Counts,48,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2020,Counts,25,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2020,Counts,23,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2019,Counts,65,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2019,Counts,33,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2019,Counts,32,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2018,Counts,37,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2018,Counts,22,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2018,Counts,15,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2017,Counts,54,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2017,Counts,39,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2017,Counts,17,GLOTIP,1
Albania,Human Trafficking,Sexual exploitation,2016,Counts,74,GLOTIP,1
