,Country,Category,Year,Unit of measurement,VALUE,Source,Crime Type,ISO3_code,ISO2_code,PopTotal
47,Albania,Corruption: Other acts of corruption,2019,Counts,1025.0,CTS,Economic,ALB,AL,2873.883
48,Albania,Smuggling of migrants,2019,Counts,146.0,CTS,Economic,ALB,AL,2873.883
49,Albania,Unlawful access to a computer system,2019,Counts,14.0,CTS,Economic,ALB,AL,2873.883
50,Albania,Unlawful interference with a computer system or computer data,2019,Counts,70.0,CTS,Economic,ALB,AL,2873.883
51,Albania,Unlawful interception or access of computer data,2019,Counts,0.0,CTS,Economic,ALB,AL,2873.883
52,Albania,Acts that cause environmental pollution or degradation,2019,Counts,114.0,CTS,Economic,ALB,AL,2873.883
53,Albania,Acts involving the movement of dumping of waste,2019,Counts,0.0,CTS,Economic,ALB,AL,2873.883
54,Albania,Acts that result in the depletion of degradation of natural resources,2019,Counts,293.0,CTS,Economic,ALB,AL,2873.883
55,Albania,Theft,2019,Counts,4833.0,CTS,Economic,ALB,AL,2873.883
56,Albania,Theft: of a motorized vehicle,2019,Counts,318.0,CTS,Economic,ALB,AL,2873.883
57,Albania,Fraud,2019,Counts,874.0,CTS,Economic,ALB,AL,2873.883
58,Albania,Fraud: Cyber-related (Cy),2019,Counts,47.0,CTS,Economic,ALB,AL,2873.883
59,Albania,Money laundering,2019,Counts,401.0,CTS,Economic,ALB,AL,2873.883
60,Albania,Corruption,2020,Counts,847.0,CTS,Economic,ALB,AL,2866.849
61,Albania,Corruption: Bribery,2020,Counts,161.0,CTS,Economic,ALB,AL,2866.849
62,Albania,Corruption: Other acts of corruption,2020,Counts,686.0,CTS,Economic,ALB,AL,2866.849
63,Albania,Smuggling of migrants,2020,Counts,304.0,CTS,Economic,ALB,AL,2866.849
64,Albania,Theft,2020,Counts,4400.0,CTS,Economic,ALB,AL,2866.849
65,Albania,Theft: of a motorized vehicle,2020,Counts,199.0,CTS,Economic,ALB,AL,2866.849
66,Albania,Fraud,2020,Counts,798.0,CTS,Economic,ALB,AL,2866.849
67,Albania,Fraud: Cyber-related (Cy),2020,Counts,56.0,CTS,Economic,ALB,AL,2866.849
68,Albania,Money laundering,2020,Counts,417.0,CTS,Economic,ALB,AL,2866.849
69,Andorra,Corruption,2016,Counts,1.0,CTS,Economic,AND,AD,72.54
70,Andorra,Corruption: Bribery,2016,Counts,0.0,CTS,Economic,AND,AD,72.54
71,Andorra,Corruption: Other acts of corruption,2016,Counts,1.0,CTS,Economic,AND,AD,72.54
72,Andorra,Smuggling of migrants,2016,Counts,0.0,CTS,Economic,AND,AD,72.54
73,Andorra,Acts that cause environmental pollution or degradation,2016,Counts,0.0,CTS,Economic,AND,AD,72.54
74,Andorra,Acts involving the movement of dumping of waste,2016,Counts,0.0,CTS,Economic,AND,AD,72.54
75,Andorra,Trade or possession of protected or prohibited species of faune and flora,2016,Counts,0.0,CTS,Economic,AND,AD,72.54
76,Andorra,Acts that result in the depletion of degradation of natural resources,2016,Counts,0.0,CTS,Economic,AND,AD,72.54
77,Andorra,Corruption,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
78,Andorra,Corruption: Bribery,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
79,Andorra,Corruption: Other acts of corruption,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
80,Andorra,Smuggling of migrants,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
81,Andorra,Acts that cause environmental pollution or degradation,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
82,Andorra,Acts involving the movement of dumping of waste,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
83,Andorra,Trade or possession of protected or prohibited species of faune and flora,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
84,Andorra,Acts that result in the depletion of degradation of natural resources,2017,Counts,0.0,CTS,Economic,AND,AD,73.837
85,Andorra,Corruption,2018,Counts,0.0,CTS,Economic,AND,AD,75.013
86,Andorra,Corruption: Bribery,2018,Counts,0.0,CTS,Economic,AND,AD,75.013
87,Andorra,Corruption: Other acts of corruption,2018,Counts,0.0,CTS,Economic,AND,AD,75.013
88,Andorra,Smuggling of migrants,2018,Counts,1.0,CTS,Economic,AND,AD,75.013
89,Andorra,Acts that cause environmental pollution or degradation,2018,Counts,0.0,CTS,Economic,AND,AD,75.013
90,Andorra,Acts involving the movement of dumping of waste,2018,Counts,0.0,CTS,Economic,AND,AD,75.013
91,Andorra,Trade or possession of protected or prohibited species of faune and flora,2018,Counts,0.0,CTS,Economic,AND,AD,75.013
92,Andorra,Acts that result in the depletion of degradation of natural resources,2018,Counts,0.0,CTS,Economic,AND,AD,75.013
93,Andorra,Corruption,2019,Counts,0.0,CTS,Economic,AND,AD,76.343
94,Andorra,Corruption: Bribery,2019,Counts,0.0,CTS,Economic,AND,AD,76.343
95,Andorra,Corruption: Other acts of corruption,2019,Counts,0.0,CTS,Economic,AND,AD,76.343
96,Andorra,Smuggling of migrants,2019,Counts,1.0,CTS,Economic,AND,AD,76.343
97,Andorra,Acts that cause environmental pollution or degradation,2019,Counts,0.0,CTS,Economic,AND,AD,76.343
98,Andorra,Acts involving the movement of dumping of waste,2019,Counts,0.0,CTS,Economic,AND,AD,76.343
99,Andorra,Trade or possession of protected or prohibited species of faune and flora,2019,Counts,0.0,CTS,Economic,AND,AD,76.343
100,Andorra,Acts that result in the depletion of degradation of natural resources,2019,Counts,0.0,CTS,Economic,AND,AD,76.343
101,United Arab Emirates,Corruption: Bribery,2016,Counts,72.0,CTS,Economic,ARE,AE,8994.263
102,United Arab Emirates,Corruption: Other acts of corruption,2016,Counts,95.0,CTS,Economic,ARE,AE,8994.263
103,United Arab Emirates,Smuggling of migrants,2016,Counts,123.0,CTS,Economic,ARE,AE,8994.263
104,United Arab Emirates,Burglary,2016,Counts,942.0,CTS,Economic,ARE,AE,8994.263
105,United Arab Emirates,Theft,2016,Counts,4803.0,CTS,Economic,ARE,AE,8994.263
106,United Arab Emirates,Theft: of a motorized vehicle,2016,Counts,750.0,CTS,Economic,ARE,AE,8994.263
107,United Arab Emirates,Fraud,2016,Counts,4079.0,CTS,Economic,ARE,AE,8994.263
108,United Arab Emirates,Fraud: Cyber-related (Cy),2016,Counts,1005.0,CTS,Economic,ARE,AE,8994.263
109,United Arab Emirates,Money laundering,2016,Counts,100.0,CTS,Economic,ARE,AE,8994.263
110,United Arab Emirates,Corruption: Bribery,2017,Counts,67.0,CTS,Economic,ARE,AE,9068.296
111,United Arab Emirates,Corruption: Other acts of corruption,2017,Counts,34.0,CTS,Economic,ARE,AE,9068.296
112,United Arab Emirates,Smuggling of migrants,2017,Counts,45.0,CTS,Economic,ARE,AE,9068.296
113,United Arab Emirates,Burglary,2017,Counts,872.0,CTS,Economic,ARE,AE,9068.296
114,United Arab Emirates,Theft,2017,Counts,4509.0,CTS,Economic,ARE,AE,9068.296
115,United Arab Emirates,Theft: of a motorized vehicle,2017,Counts,650.0,CTS,Economic,ARE,AE,9068.296
116,United Arab Emirates,Smuggling of migrants,2018,Counts,35.0,CTS,Economic,ARE,AE,9140.169
117,United Arab Emirates,Burglary,2018,Counts,863.0,CTS,Economic,ARE,AE,9140.169
118,United Arab Emirates,Theft,2018,Counts,4633.0,CTS,Economic,ARE,AE,9140.169
119,United Arab Emirates,Theft: of a motorized vehicle,2018,Counts,553.0,CTS,Economic,ARE,AE,9140.169
120,United Arab Emirates,Unlawful access to a computer system,2019,Counts,174.0,CTS,Economic,ARE,AE,9211.657
121,United Arab Emirates,Unlawful interference with a computer system or computer data,2019,Counts,54.0,CTS,Economic,ARE,AE,9211.657
122,United Arab Emirates,Unlawful interception or access of computer data,2019,Counts,22.0,CTS,Economic,ARE,AE,9211.657
123,Argentina,Theft,2016,Counts,270125.0,CTS,Economic,ARG,AR,43668.241
124,Argentina,Theft,2017,Counts,254418.0,CTS,Economic,ARG,AR,44054.616
125,Argentina,Trade or possession of protected or prohibited species of faune and flora,2017,Counts,736.0,CTS,Economic,ARG,AR,44054.616
126,Argentina,Trade or possession of protected or prohibited species of faune and flora,2018,Counts,741.0,CTS,Economic,ARG,AR,44413.596
127,Argentina,Theft,2018,Counts,277292.0,CTS,Economic,ARG,AR,44413.596
128,Argentina,Trade or possession of protected or prohibited species of faune and flora,2019,Counts,1512.0,CTS,Economic,ARG,AR,44745.52
129,Argentina,Theft,2019,Counts,333350.0,CTS,Economic,ARG,AR,44745.52
130,Argentina,Theft,2020,Counts,228284.0,CTS,Economic,ARG,AR,45036.032
131,Armenia,Corruption,2016,Counts,659.0,CTS,Economic,ARM,AM,2865.835
132,Armenia,Corruption: Bribery,2016,Counts,71.0,CTS,Economic,ARM,AM,2865.835
133,Armenia,Corruption: Other acts of corruption,2016,Counts,588.0,CTS,Economic,ARM,AM,2865.835
134,Armenia,Smuggling of migrants,2016,Counts,19.0,CTS,Economic,ARM,AM,2865.835
135,Armenia,Burglary,2016,Counts,2514.0,CTS,Economic,ARM,AM,2865.835
136,Armenia,Theft,2016,Counts,5677.0,CTS,Economic,ARM,AM,2865.835
137,Armenia,Theft: of a motorized vehicle,2016,Counts,49.0,CTS,Economic,ARM,AM,2865.835
138,Armenia,Fraud,2016,Counts,1012.0,CTS,Economic,ARM,AM,2865.835
139,Armenia,Fraud: Cyber-related (Cy),2016,Counts,48.0,CTS,Economic,ARM,AM,2865.835
140,Armenia,Money laundering,2016,Counts,4.0,CTS,Economic,ARM,AM,2865.835
141,Armenia,Unlawful access to a computer system,2016,Counts,0.0,CTS,Economic,ARM,AM,2865.835
142,Armenia,Unlawful interference with a computer system or computer data,2016,Counts,1.0,CTS,Economic,ARM,AM,2865.835
143,Armenia,Unlawful interception or access of computer data,2016,Counts,25.0,CTS,Economic,ARM,AM,2865.835
144,Armenia,Acts that cause environmental pollution or degradation,2016,Counts,11.0,CTS,Economic,ARM,AM,2865.835
145,Armenia,Acts involving the movement of dumping of waste,2016,Counts,0.0,CTS,Economic,ARM,AM,2865.835
146,Armenia,Trade or possession of protected or prohibited species of faune and flora,2016,Counts,47.0,CTS,Economic,ARM,AM,2865.835
147,Armenia,Acts that result in the depletion of degradation of natural resources,2016,Counts,2.0,CTS,Economic,ARM,AM,2865.835
148,Armenia,Corruption,2017,Counts,634.0,CTS,Economic,ARM,AM,2851.923
149,Armenia,Corruption: Bribery,2017,Counts,163.0,CTS,Economic,ARM,AM,2851.923
150,Armenia,Corruption: Other acts of corruption,2017,Counts,471.0,CTS,Economic,ARM,AM,2851.923
151,Armenia,Smuggling of migrants,2017,Counts,14.0,CTS,Economic,ARM,AM,2851.923
152,Armenia,Unlawful access to a computer system,2017,Counts,2.0,CTS,Economic,ARM,AM,2851.923
153,Armenia,Unlawful interference with a computer system or computer data,2017,Counts,1.0,CTS,Economic,ARM,AM,2851.923
154,Armenia,Unlawful interception or access of computer data,2017,Counts,26.0,CTS,Economic,ARM,AM,2851.923
155,Armenia,Acts that cause environmental pollution or degradation,2017,Counts,3.0,CTS,Economic,ARM,AM,2851.923
156,Armenia,Acts involving the movement of dumping of waste,2017,Counts,0.0,CTS,Economic,ARM,AM,2851.923
157,Armenia,Trade or possession of protected or prohibited species of faune and flora,2017,Counts,151.0,CTS,Economic,ARM,AM,2851.923
158,Armenia,Acts that result in the depletion of degradation of natural resources,2017,Counts,1.0,CTS,Economic,ARM,AM,2851.923
159,Armenia,Burglary,2017,Counts,2186.0,CTS,Economic,ARM,AM,2851.923
160,Armenia,Theft,2017,Counts,5963.0,CTS,Economic,ARM,AM,2851.923
161,Armenia,Theft: of a motorized vehicle,2017,Counts,44.0,CTS,Economic,ARM,AM,2851.923
162,Armenia,Fraud,2017,Counts,1150.0,CTS,Economic,ARM,AM,2851.923
163,Armenia,Fraud: Cyber-related (Cy),2017,Counts,67.0,CTS,Economic,ARM,AM,2851.923
164,Armenia,Money laundering,2017,Counts,0.0,CTS,Economic,ARM,AM,2851.923
165,Armenia,Corruption,2018,Counts,1353.0,CTS,Economic,ARM,AM,2836.557
166,Armenia,Corruption: Bribery,2018,Counts,461.0,CTS,Economic,ARM,AM,2836.557
167,Armenia,Corruption: Other acts of corruption,2018,Counts,892.0,CTS,Economic,ARM,AM,2836.557
168,Armenia,Smuggling of migrants,2018,Counts,12.0,CTS,Economic,ARM,AM,2836.557
169,Armenia,Burglary,2018,Counts,3267.0,CTS,Economic,ARM,AM,2836.557
170,Armenia,Theft,2018,Counts,7098.0,CTS,Economic,ARM,AM,2836.557
171,Armenia,Theft: of a motorized vehicle,2018,Counts,48.0,CTS,Economic,ARM,AM,2836.557
172,Armenia,Fraud,2018,Counts,1506.0,CTS,Economic,ARM,AM,2836.557
173,Armenia,Fraud: Cyber-related (Cy),2018,Counts,51.0,CTS,Economic,ARM,AM,2836.557
174,Armenia,Money laundering,2018,Counts,8.0,CTS,Economic,ARM,AM,2836.557
175,Armenia,Corruption,2019,Counts,1280.0,CTS,Economic,ARM,AM,2820.602
176,Armenia,Corruption: Bribery,2019,Counts,324.0,CTS,Economic,ARM,AM,2820.602
177,Armenia,Corruption: Other acts of corruption,2019,Counts,956.0,CTS,Economic,ARM,AM,2820.602
178,Armenia,Smuggling of migrants,2019,Counts,10.0,CTS,Economic,ARM,AM,2820.602
179,Antigua and Barbuda,Burglary,2016,Counts,17.0,CTS,Economic,ATG,AG,90.564
180,Antigua and Barbuda,Theft,2016,Counts,1015.0,CTS,Economic,ATG,AG,90.564
181,Antigua and Barbuda,Theft: of a motorized vehicle,2016,Counts,15.0,CTS,Economic,ATG,AG,90.564
182,Antigua and Barbuda,Fraud,2016,Counts,4.0,CTS,Economic,ATG,AG,90.564
183,Antigua and Barbuda,Fraud: Cyber-related (Cy),2016,Counts,0.0,CTS,Economic,ATG,AG,90.564
184,Antigua and Barbuda,Fraud: Cyber-related (Cy),2017,Counts,0.0,CTS,Economic,ATG,AG,91.119
185,Antigua and Barbuda,Burglary,2017,Counts,75.0,CTS,Economic,ATG,AG,91.119
186,Antigua and Barbuda,Theft,2017,Counts,1066.0,CTS,Economic,ATG,AG,91.119
187,Antigua and Barbuda,Theft: of a motorized vehicle,2017,Counts,49.0,CTS,Economic,ATG,AG,91.119
188,Antigua and Barbuda,Fraud,2017,Counts,19.0,CTS,Economic,ATG,AG,91.119
189,Antigua and Barbuda,Fraud: Cyber-related (Cy),2018,Counts,0.0,CTS,Economic,ATG,AG,91.626
190,Antigua and Barbuda,Smuggling of migrants,2018,Counts,1.0,CTS,Economic,ATG,AG,91.626
191,Antigua and Barbuda,Burglary,2018,Counts,24.0,CTS,Economic,ATG,AG,91.626
192,Antigua and Barbuda,Theft,2018,Counts,895.0,CTS,Economic,ATG,AG,91.626
193,Antigua and Barbuda,Theft: of a motorized vehicle,2018,Counts,24.0,CTS,Economic,ATG,AG,91.626
194,Antigua and Barbuda,Fraud,2018,Counts,11.0,CTS,Economic,ATG,AG,91.626
195,Antigua and Barbuda,Corruption: Bribery,2019,Counts,0.0,CTS,Economic,ATG,AG,92.117
196,Antigua and Barbuda,Corruption: Other acts of corruption,2019,Counts,0.0,CTS,Economic,ATG,AG,92.117
197,Antigua and Barbuda,Smuggling of migrants,2019,Counts,0.0,CTS,Economic,ATG,AG,92.117
198,Antigua and Barbuda,Burglary,2019,Counts,28.0,CTS,Economic,ATG,AG,92.117
199,Antigua and Barbuda,Theft,2019,Counts,1063.0,CTS,Economic,ATG,AG,92.117
200,Antigua and Barbuda,Theft: of a motorized vehicle,2019,Counts,41.0,CTS,Economic,ATG,AG,92.117
201,Antigua and Barbuda,Fraud,2019,Counts,15.0,CTS,Economic,ATG,AG,92.117
202,Antigua and Barbuda,Fraud: Cyber-related (Cy),2019,Counts,0.0,CTS,Economic,ATG,AG,92.117
203,Antigua and Barbuda,Corruption: Bribery,2020,Counts,0.0,CTS,Economic,ATG,AG,92.664
204,Antigua and Barbuda,Corruption: Other acts of corruption,2020,Counts,0.0,CTS,Economic,ATG,AG,92.664
205,Antigua and Barbuda,Smuggling of migrants,2020,Counts,0.0,CTS,Economic,ATG,AG,92.664
206,Antigua and Barbuda,Burglary,2020,Counts,43.0,CTS,Economic,ATG,AG,92.664
207,Antigua and Barbuda,Theft,2020,Counts,858.0,CTS,Economic,ATG,AG,92.664
208,Antigua and Barbuda,Theft: of a motorized vehicle,2020,Counts,8.0,CTS,Economic,ATG,AG,92.664
209,Antigua and Barbuda,Fraud,2020,Counts,10.0,CTS,Economic,ATG,AG,92.664
210,Antigua and Barbuda,Fraud: Cyber-related (Cy),2020,Counts,0.0,CTS,Economic,ATG,AG,92.664
211,Australia,Burglary,2016,Counts,188756.0,CTS,Economic,AUS,AU,24195.701
212,Australia,Theft,2016,Counts,593369.0,CTS,Economic,AUS,AU,24195.701
213,Australia,Fraud,2016,Counts,11163.0,CTS,Economic,AUS,AU,24195.701
214,Australia,Theft: of a motorized vehicle,2016,Counts,56048.0,CTS,Economic,AUS,AU,24195.701
215,Australia,Burglary,2017,Counts,176286.0,CTS,Economic,AUS,AU,24590.334
216,Australia,Theft,2017,Counts,562833.0,CTS,Economic,AUS,AU,24590.334
217,Australia,Theft: of a motorized vehicle,2017,Counts,52441.0,CTS,Economic,AUS,AU,24590.334
218,Australia,Fraud,2017,Counts,11112.0,CTS,Economic,AUS,AU,24590.334
219,Australia,Burglary,2018,Counts,168983.0,CTS,Economic,AUS,AU,24979.23
220,Australia,Theft,2018,Counts,590942.0,CTS,Economic,AUS,AU,24979.23
221,Australia,Theft: of a motorized vehicle,2018,Counts,53384.0,CTS,Economic,AUS,AU,24979.23
222,Australia,Fraud,2018,Counts,12146.0,CTS,Economic,AUS,AU,24979.23
223,Australia,Burglary,2019,Counts,173347.0,CTS,Economic,AUS,AU,25357.17
224,Australia,Theft,2019,Counts,627230.0,CTS,Economic,AUS,AU,25357.17
225,Australia,Theft: of a motorized vehicle,2019,Counts,57987.0,CTS,Economic,AUS,AU,25357.17
226,Australia,Fraud,2019,Counts,11976.0,CTS,Economic,AUS,AU,25357.17
227,Australia,Burglary,2020,Counts,133870.0,CTS,Economic,AUS,AU,25670.051
228,Australia,Theft,2020,Counts,484671.0,CTS,Economic,AUS,AU,25670.051
229,Australia,Theft: of a motorized vehicle,2020,Counts,48056.0,CTS,Economic,AUS,AU,25670.051
230,Australia,Fraud,2020,Counts,11553.0,CTS,Economic,AUS,AU,25670.051
231,Austria,Unlawful access to a computer system,2016,Counts,512.0,CTS,Economic,AUT,AT,8736.487
232,Austria,Unlawful interference with a computer system or computer data,2016,Counts,941.0,CTS,Economic,AUT,AT,8736.487
233,Austria,Unlawful interception or access of computer data,2016,Counts,746.0,CTS,Economic,AUT,AT,8736.487
234,Austria,Acts that cause environmental pollution or degradation,2016,Counts,104.0,CTS,Economic,AUT,AT,8736.487
235,Austria,Acts involving the movement of dumping of waste,2016,Counts,27.0,CTS,Economic,AUT,AT,8736.487
236,Austria,Trade or possession of protected or prohibited species of faune and flora,2016,Counts,5.0,CTS,Economic,AUT,AT,8736.487
237,Austria,Acts that result in the depletion of degradation of natural resources,2016,Counts,11.0,CTS,Economic,AUT,AT,8736.487
238,Austria,Corruption,2016,Counts,3151.0,CTS,Economic,AUT,AT,8736.487
239,Austria,Corruption: Bribery,2016,Counts,20.0,CTS,Economic,AUT,AT,8736.487
240,Austria,Corruption: Other acts of corruption,2016,Counts,3131.0,CTS,Economic,AUT,AT,8736.487
241,Austria,Smuggling of migrants,2016,Counts,3303.0,CTS,Economic,AUT,AT,8736.487
242,Austria,Burglary,2016,Counts,80503.0,CTS,Economic,AUT,AT,8736.487
243,Austria,Theft,2016,Counts,143531.0,CTS,Economic,AUT,AT,8736.487
244,Austria,Theft: of a motorized vehicle,2016,Counts,9023.0,CTS,Economic,AUT,AT,8736.487
245,Austria,Fraud,2016,Counts,32543.0,CTS,Economic,AUT,AT,8736.487
246,Austria,Money laundering,2016,Counts,562.0,CTS,Economic,AUT,AT,8736.487
247,Austria,Fraud: Cyber-related (Cy),2016,Counts,9672.0,CTS,Economic,AUT,AT,8736.487
248,Austria,Unlawful access to a computer system,2017,Counts,420.0,CTS,Economic,AUT,AT,8797.496
249,Austria,Unlawful interference with a computer system or computer data,2017,Counts,1291.0,CTS,Economic,AUT,AT,8797.496
250,Austria,Unlawful interception or access of computer data,2017,Counts,609.0,CTS,Economic,AUT,AT,8797.496
251,Austria,Acts that cause environmental pollution or degradation,2017,Counts,96.0,CTS,Economic,AUT,AT,8797.496
252,Austria,Acts involving the movement of dumping of waste,2017,Counts,27.0,CTS,Economic,AUT,AT,8797.496
253,Austria,Trade or possession of protected or prohibited species of faune and flora,2017,Counts,0.0,CTS,Economic,AUT,AT,8797.496
254,Austria,Acts that result in the depletion of degradation of natural resources,2017,Counts,11.0,CTS,Economic,AUT,AT,8797.496
255,Austria,Theft,2017,Counts,131717.0,CTS,Economic,AUT,AT,8797.496
256,Austria,Theft: of a motorized vehicle,2017,Counts,5013.0,CTS,Economic,AUT,AT,8797.496
257,Austria,Fraud,2017,Counts,35050.0,CTS,Economic,AUT,AT,8797.496
258,Austria,Fraud: Cyber-related (Cy),2017,Counts,1056.0,CTS,Economic,AUT,AT,8797.496
259,Austria,Corruption,2017,Counts,3209.0,CTS,Economic,AUT,AT,8797.496
260,Austria,Corruption: Bribery,2017,Counts,30.0,CTS,Economic,AUT,AT,8797.496
261,Austria,Corruption: Other acts of corruption,2017,Counts,3179.0,CTS,Economic,AUT,AT,8797.496
262,Austria,Smuggling of migrants,2017,Counts,1479.0,CTS,Economic,AUT,AT,8797.496
263,Austria,Burglary,2017,Counts,69259.0,CTS,Economic,AUT,AT,8797.496
264,Austria,Money laundering,2017,Counts,622.0,CTS,Economic,AUT,AT,8797.496
265,Austria,Unlawful access to a computer system,2018,Counts,459.0,CTS,Economic,AUT,AT,8840.513
266,Austria,Unlawful interference with a computer system or computer data,2018,Counts,568.0,CTS,Economic,AUT,AT,8840.513
267,Austria,Unlawful interception or access of computer data,2018,Counts,660.0,CTS,Economic,AUT,AT,8840.513
268,Austria,Acts that cause environmental pollution or degradation,2018,Counts,146.0,CTS,Economic,AUT,AT,8840.513
269,Austria,Acts involving the movement of dumping of waste,2018,Counts,16.0,CTS,Economic,AUT,AT,8840.513
270,Austria,Trade or possession of protected or prohibited species of faune and flora,2018,Counts,1.0,CTS,Economic,AUT,AT,8840.513
271,Austria,Acts that result in the depletion of degradation of natural resources,2018,Counts,10.0,CTS,Economic,AUT,AT,8840.513
272,Austria,Theft,2018,Counts,118802.0,CTS,Economic,AUT,AT,8840.513
273,Austria,Theft: of a motorized vehicle,2018,Counts,4257.0,CTS,Economic,AUT,AT,8840.513
274,Austria,Fraud,2018,Counts,37859.0,CTS,Economic,AUT,AT,8840.513
275,Austria,Fraud: Cyber-related (Cy),2018,Counts,1420.0,CTS,Economic,AUT,AT,8840.513
276,Austria,Corruption,2018,Counts,3113.0,CTS,Economic,AUT,AT,8840.513
277,Austria,Corruption: Bribery,2018,Counts,24.0,CTS,Economic,AUT,AT,8840.513
278,Austria,Corruption: Other acts of corruption,2018,Counts,3089.0,CTS,Economic,AUT,AT,8840.513
